"name","year","mpg"
"chevrolet chevelle malibu",70,18
"buick skylark 320",70,15
"plymouth satellite",70,18
"amc rebel sst",70,16
"ford torino",70,17
"ford galaxie 500",70,15
"chevrolet impala",70,14
"plymouth fury iii",70,14
"pontiac catalina",70,14
"amc ambassador dpl",70,15
"dodge challenger se",70,15
"plymouth 'cuda 340",70,14
"chevrolet monte carlo",70,15
"buick estate wagon (sw)",70,14
"toyota corona mark ii",70,24
"plymouth duster",70,22
"amc hornet",70,18
"ford maverick",70,21
"datsun pl510",70,27
"volkswagen 1131 deluxe sedan",70,26
"peugeot 504",70,25
"audi 100 ls",70,24
"saab 99e",70,25
"bmw 2002",70,26
"amc gremlin",70,21
"ford f250",70,10
"chevy c20",70,10
"dodge d200",70,11
"hi 1200d",70,9
"datsun pl510",71,27
"chevrolet vega 2300",71,28
"toyota corona",71,25
"ford pinto",71,25
"amc gremlin",71,19
"plymouth satellite custom",71,16
"chevrolet chevelle malibu",71,17
"ford torino 500",71,19
"amc matador",71,18
"chevrolet impala",71,14
"pontiac catalina brougham",71,14
"ford galaxie 500",71,14
"plymouth fury iii",71,14
"dodge monaco (sw)",71,12
"ford country squire (sw)",71,13
"pontiac safari (sw)",71,13
"amc hornet sportabout (sw)",71,18
"chevrolet vega (sw)",71,22
"pontiac firebird",71,19
"ford mustang",71,18
"mercury capri 2000",71,23
"opel 1900",71,28
"peugeot 304",71,30
"fiat 124b",71,30
"toyota corolla 1200",71,31
"datsun 1200",71,35
"volkswagen model 111",71,27
"plymouth cricket",71,26
"toyota corona hardtop",72,24
"dodge colt hardtop",72,25
"volkswagen type 3",72,23
"chevrolet vega",72,20
"ford pinto runabout",72,21
"chevrolet impala",72,13
"pontiac catalina",72,14
"plymouth fury iii",72,15
"ford galaxie 500",72,14
"amc ambassador sst",72,17
"mercury marquis",72,11
"buick lesabre custom",72,13
"oldsmobile delta 88 royale",72,12
"chrysler newport royal",72,13
"mazda rx2 coupe",72,19
"amc matador (sw)",72,15
"chevrolet chevelle concours (sw)",72,13
"ford gran torino (sw)",72,13
"plymouth satellite custom (sw)",72,14
"volvo 145e (sw)",72,18
"volkswagen 411 (sw)",72,22
"peugeot 504 (sw)",72,21
"renault 12 (sw)",72,26
"ford pinto (sw)",72,22
"datsun 510 (sw)",72,28
"toyouta corona mark ii (sw)",72,23
"dodge colt (sw)",72,28
"toyota corolla 1600 (sw)",72,27
"buick century 350",73,13
"amc matador",73,14
"chevrolet malibu",73,13
"ford gran torino",73,14
"dodge coronet custom",73,15
"mercury marquis brougham",73,12
"chevrolet caprice classic",73,13
"ford ltd",73,13
"plymouth fury gran sedan",73,14
"chrysler new yorker brougham",73,13
"buick electra 225 custom",73,12
"amc ambassador brougham",73,13
"plymouth valiant",73,18
"chevrolet nova custom",73,16
"amc hornet",73,18
